DATE,IPGMFN
1972-01-01,35.4627
1972-02-01,36.5706
1972-03-01,37.1421
1972-04-01,37.8981
1972-05-01,38.0932
1972-06-01,39.0532
1972-07-01,36.3002
1972-08-01,37.8353
1972-09-01,39.5728
1972-10-01,40.4923
1972-11-01,40.1290
1972-12-01,39.2195
1973-01-01,39.1387
1973-02-01,40.8257
1973-03-01,41.2956
1973-04-01,41.3339
1973-05-01,41.8479
1973-06-01,42.8464
1973-07-01,40.4440
1973-08-01,40.9608
1973-09-01,42.9264
1973-10-01,43.6674
1973-11-01,43.1435
1973-12-01,41.4905
1974-01-01,40.8299
1974-02-01,41.6264
1974-03-01,42.0742
1974-04-01,41.6217
1974-05-01,42.5651
1974-06-01,43.5682
1974-07-01,40.9622
1974-08-01,41.4133
1974-09-01,42.8455
1974-10-01,42.8573
1974-11-01,40.7225
1974-12-01,37.7016
1975-01-01,36.3868
1975-02-01,36.1669
1975-03-01,35.9642
1975-04-01,36.2791
1975-05-01,36.2635
1975-06-01,37.4123
1975-07-01,35.5469
1975-08-01,37.0349
1975-09-01,38.7091
1975-10-01,39.1172
1975-11-01,38.5162
1975-12-01,37.7905
1976-01-01,37.8648
1976-02-01,39.4276
1976-03-01,40.0711
1976-04-01,39.9507
1976-05-01,40.8535
1976-06-01,41.7707
1976-07-01,39.4070
1976-08-01,40.5026
1976-09-01,41.6977
1976-10-01,42.0949
1976-11-01,41.8046
1976-12-01,40.9530
1977-01-01,40.3879
1977-02-01,42.1858
1977-03-01,43.5477
1977-04-01,43.8361
1977-05-01,44.5243
1977-06-01,45.8931
1977-07-01,43.1622
1977-08-01,43.9748
1977-09-01,45.3744
1977-10-01,45.8807
1977-11-01,44.9994
1977-12-01,44.2669
1978-01-01,43.1513
1978-02-01,44.4647
1978-03-01,45.8474
1978-04-01,47.0279
1978-05-01,47.0399
1978-06-01,48.3373
1978-07-01,45.3935
1978-08-01,46.4382
1978-09-01,48.2061
1978-10-01,48.9064
1978-11-01,48.2927
1978-12-01,47.4872
1979-01-01,46.4341
1979-02-01,47.9551
1979-03-01,49.1569
1979-04-01,47.6324
1979-05-01,48.9301
1979-06-01,49.9104
1979-07-01,47.1156
1979-08-01,47.4125
1979-09-01,48.8299
1979-10-01,49.1818
1979-11-01,48.0848
1979-12-01,47.2700
1980-01-01,46.8770
1980-02-01,47.9757
1980-03-01,48.4793
1980-04-01,47.0662
1980-05-01,45.6995
1980-06-01,45.8567
1980-07-01,42.8756
1980-08-01,44.4333
1980-09-01,46.1891
1980-10-01,47.0627
1980-11-01,47.0579
1980-12-01,46.2531
1981-01-01,45.6213
1981-02-01,46.4874
1981-03-01,47.4402
1981-04-01,47.1711
1981-05-01,47.6753
1981-06-01,48.3771
1981-07-01,46.0119
1981-08-01,47.1068
1981-09-01,47.5911
1981-10-01,47.3963
1981-11-01,45.9769
1981-12-01,44.3753
1982-01-01,42.8769
1982-02-01,45.0401
1982-03-01,45.3073
1982-04-01,44.5898
1982-05-01,44.7124
1982-06-01,45.6165
1982-07-01,43.3131
1982-08-01,43.9631
1982-09-01,44.6360
1982-10-01,44.2006
1982-11-01,43.0165
1982-12-01,41.9402
1983-01-01,42.7645
1983-02-01,43.6915
1983-03-01,44.7634
1983-04-01,45.0271
1983-05-01,45.7199
1983-06-01,47.1473
1983-07-01,45.3527
1983-08-01,46.7442
1983-09-01,48.7273
1983-10-01,49.2794
1983-11-01,48.3629
1983-12-01,47.3974
1984-01-01,48.2892
1984-02-01,49.9159
1984-03-01,50.8896
1984-04-01,50.8695
1984-05-01,51.0275
1984-06-01,52.3611
1984-07-01,49.8435
1984-08-01,51.1367
1984-09-01,52.1882
1984-10-01,52.3011
1984-11-01,51.3310
1984-12-01,50.3772
1985-01-01,50.2821
1985-02-01,51.1036
1985-03-01,52.1377
1985-04-01,51.5365
1985-05-01,51.8150
1985-06-01,53.0657
1985-07-01,50.0036
1985-08-01,51.6337
1985-09-01,52.8365
1985-10-01,52.6048
1985-11-01,51.8005
1985-12-01,50.9605
1986-01-01,51.5963
1986-02-01,52.3543
1986-03-01,52.3713
1986-04-01,52.8766
1986-05-01,52.7015
1986-06-01,53.7356
1986-07-01,50.9557
1986-08-01,52.8171
1986-09-01,54.0464
1986-10-01,54.1481
1986-11-01,53.2480
1986-12-01,52.5845
1987-01-01,52.5151
1987-02-01,54.4069
1987-03-01,54.9442
1987-04-01,54.6874
1987-05-01,55.4416
1987-06-01,56.8274
1987-07-01,54.0136
1987-08-01,56.2548
1987-09-01,57.3684
1987-10-01,58.5821
1987-11-01,57.6619
1987-12-01,56.7490
1988-01-01,56.7982
1988-02-01,58.0084
1988-03-01,58.6871
1988-04-01,58.9176
1988-05-01,59.0147
1988-06-01,60.4174
1988-07-01,57.0420
1988-08-01,59.0021
1988-09-01,60.3476
1988-10-01,60.7172
1988-11-01,59.5329
1988-12-01,58.4300
1989-01-01,59.1119
1989-02-01,59.5730
1989-03-01,59.5267
1989-04-01,60.4317
1989-05-01,59.5203
1989-06-01,60.9795
1989-07-01,56.8053
1989-08-01,59.6336
1989-09-01,60.4537
1989-10-01,60.3806
1989-11-01,59.1254
1989-12-01,57.9077
1990-01-01,57.7570
1990-02-01,59.6354
1990-03-01,60.5193
1990-04-01,59.5166
1990-05-01,60.4629
1990-06-01,62.0543
1990-07-01,58.5625
1990-08-01,60.9665
1990-09-01,62.0093
1990-10-01,61.4265
1990-11-01,59.3506
1990-12-01,57.6357
1991-01-01,57.2797
1991-02-01,57.8112
1991-03-01,57.5522
1991-04-01,58.1882
1991-05-01,58.5459
1991-06-01,60.4973
1991-07-01,57.2405
1991-08-01,59.8481
1991-09-01,61.2954
1991-10-01,61.2033
1991-11-01,59.5545
1991-12-01,58.0083
1992-01-01,57.9054
1992-02-01,59.5904
1992-03-01,60.9726
1992-04-01,60.5123
1992-05-01,61.3842
1992-06-01,62.9307
1992-07-01,59.7310
1992-08-01,62.2858
1992-09-01,62.9788
1992-10-01,63.6032
1992-11-01,62.5755
1992-12-01,61.1033
1993-01-01,61.3505
1993-02-01,62.8559
1993-03-01,63.4776
1993-04-01,63.0389
1993-05-01,63.4522
1993-06-01,64.7602
1993-07-01,61.1453
1993-08-01,63.8620
1993-09-01,65.0576
1993-10-01,65.6851
1993-11-01,64.6411
1993-12-01,63.4978
1994-01-01,63.4440
1994-02-01,64.8548
1994-03-01,66.6253
1994-04-01,66.4535
1994-05-01,67.1733
1994-06-01,68.9460
1994-07-01,64.8891
1994-08-01,68.6611
1994-09-01,70.0729
1994-10-01,70.6487
1994-11-01,69.8153
1994-12-01,69.0785
1995-01-01,68.7834
1995-02-01,70.1930
1995-03-01,71.4639
1995-04-01,69.7577
1995-05-01,70.5733
1995-06-01,72.8026
1995-07-01,67.9795
1995-08-01,71.9734
1995-09-01,73.9133
1995-10-01,73.4371
1995-11-01,72.1591
1995-12-01,70.9865
1996-01-01,69.8624
1996-02-01,72.5422
1996-03-01,73.5821
1996-04-01,73.1776
1996-05-01,74.0222
1996-06-01,76.8567
1996-07-01,72.2700
1996-08-01,76.4069
1996-09-01,78.5293
1996-10-01,77.9510
1996-11-01,77.2562
1996-12-01,76.1810
1997-01-01,75.7277
1997-02-01,78.4570
1997-03-01,80.2053
1997-04-01,79.6011
1997-05-01,79.8793
1997-06-01,81.9709
1997-07-01,76.8369
1997-08-01,82.2412
1997-09-01,84.6104
1997-10-01,85.1810
1997-11-01,85.2625
1997-12-01,84.1513
1998-01-01,83.5864
1998-02-01,85.7080
1998-03-01,86.8565
1998-04-01,85.0536
1998-05-01,86.4371
1998-06-01,86.9749
1998-07-01,82.0563
1998-08-01,87.7107
1998-09-01,88.3495
1998-10-01,89.8879
1998-11-01,88.7931
1998-12-01,87.8779
1999-01-01,87.1440
1999-02-01,89.5921
1999-03-01,91.3310
1999-04-01,89.8298
1999-05-01,90.9908
1999-06-01,92.6410
1999-07-01,86.8404
1999-08-01,92.0636
1999-09-01,92.5542
1999-10-01,94.4572
1999-11-01,93.5704
1999-12-01,92.5141
2000-01-01,91.8616
2000-02-01,93.7247
2000-03-01,96.3125
2000-04-01,95.1293
2000-05-01,95.3251
2000-06-01,97.9747
2000-07-01,91.4512
2000-08-01,95.6219
2000-09-01,97.3573
2000-10-01,97.1424
2000-11-01,95.4684
2000-12-01,93.5693
2001-01-01,91.6884
2001-02-01,93.2797
2001-03-01,94.9389
2001-04-01,91.7247
2001-05-01,92.6635
2001-06-01,94.2080
2001-07-01,87.6173
2001-08-01,91.8206
2001-09-01,92.4170
2001-10-01,91.8874
2001-11-01,90.1666
2001-12-01,88.6738
2002-01-01,88.5242
2002-02-01,90.3975
2002-03-01,92.6002
2002-04-01,91.9943
2002-05-01,92.5491
2002-06-01,95.8700
2002-07-01,88.7279
2002-08-01,94.1163
2002-09-01,95.3515
2002-10-01,94.8744
2002-11-01,93.3727
2002-12-01,90.9977
2003-01-01,91.2582
2003-02-01,93.3019
2003-03-01,95.2268
2003-04-01,92.7127
2003-05-01,93.3931
2003-06-01,95.9516
2003-07-01,89.1321
2003-08-01,94.5933
2003-09-01,96.4597
2003-10-01,96.1279
2003-11-01,95.5817
2003-12-01,93.3815
2004-01-01,92.3332
2004-02-01,95.6692
2004-03-01,97.2363
2004-04-01,95.5979
2004-05-01,97.1548
2004-06-01,98.7572
2004-07-01,93.4899
2004-08-01,98.5444
2004-09-01,99.1493
2004-10-01,100.1922
2004-11-01,98.5451
2004-12-01,97.3699
2005-01-01,97.4927
2005-02-01,100.0924
2005-03-01,100.9290
2005-04-01,100.9418
2005-05-01,101.2643
2005-06-01,103.9708
2005-07-01,97.7445
2005-08-01,102.6477
2005-09-01,102.3902
2005-10-01,103.4403
2005-11-01,102.5543
2005-12-01,101.0309
2006-01-01,100.7870
2006-02-01,102.3797
2006-03-01,104.2850
2006-04-01,102.4607
2006-05-01,103.8136
2006-06-01,106.7264
2006-07-01,100.9352
